ID,CourseName
988,Seminario sobre Enseñanza de las Matemáticas IV
990,Seminario de Filosofía de la Ciencia IV
991,Seminario de Investigación de Operaciones
1000,Acuacultura
1001,Administración de Recursos Naturales
1002,Anatomía Animal
1003,Anatomía Vegetal
1004,Artrópodos
1005,Biodiversidad
1006,Biogeografia II
1007,Biología Molecular
1008,Biología Celular
1009,Biología Célular (Núcleo Celular)
1011,Temas Selectos de Bioquímica
1012,Biotecnología II
1013,Briofitas y Pteridofitas
1014,Carcinogenésis
1016,Climatologia
1017,Contaminación Ambiental
1018,Deuterostomados
1019,Didáctica de la Biología
1020,Ecofisiología Animal
1021,Ecología de Poblaciones
1022,Ecología II
1023,Edafología
1024,Embriología Animal
1025,Embriología Vegetal
1026,Etnobotánica
1027,Evolución II
1028,Ficologia
1029,Fisiología Animal
1030,Fisiología Microbiana
1031,Fisiología Vegetal
1032,Fotogrametría y Fotointerpretación
1033,Genética de Poblaciones
1034,Genética II
1035,Geologia
1036,Geomorfologia
1037,Inmunología
1038,Introducción a la Investigación Educativa
1039,Metazoarios
1040,Métodos de Enseñanza
1041,Microbiología
1042,Naturaleza y Sociedad
1043,Neurobiología
1044,Sistemática II
1045,Virologia
1046,Reaseguro Financiero
1047,La Sustentabilidad del Desarrollo
1048,Introducción a los Sistemas Complejos
1049,Ciencia
1050,Administración Financiera
1051,Control Estadístico de la Calidad
1053,Fianzas
1054,Mercadotecnia de Seguros
1055,Auditoría Actuarial
1056,Teoría de Juegos en Economía
1057,Administración de Riesgos Financieros
1063,Econometría II
1064,Temas Selectos de Economía I
1066,Productos Financieros Derivados II
1067,Valuación de Opciones
1089,Temas Selectos de Análisis Numérico
1090,El Zoológico como Centro de Conservación
1091,Polémicas Contemporáneas de la Evolución
1092,Ornitología
1093,Adaptación de los Mamíferos a la Vida Acuática
1094,Física de Plasmas II
1095,Física de los Plasmas de Baja Temperatura
1096,Fusión Nuclear Controlada
1097,Temas Selectos de Física de Plasmas I
1099,Astrofísica General
1100,Biología de Procariontes
1101,Filosofía e Historia de la Biología
1102,Física
1103,Matemáticas I
1104,Química
1108,Matemáticas Financieras
1109,Problemas Socio-Económicos de México
1110,Ecología y Evolución
1111,Filosofía y Ética de la Ciencia
1112,Geología Ambiental Costera
1113,Introducción al Estudio de los Sistemas Costeros
1114,Matemáticas I
1115,Biología General
1116,Geología General
1117,Introducción a las Ciencias de la Tierra
1118,Matemáticas para las Ciencias de la Tierra I
1119,Química General
1122,Contabilidad
1123,Estructuras Discretas
1124,Inglés I
1125,Introducción a Ciencias de la Computación
1126,Matemáticas para las Ciencias Aplicadas I
1130,Álgebra
1131,Cálculo Diferencial e Integral I
1132,Inglés
1133,Introducción a la Física del Cuerpo Humano
1134,Metodología de la Física Experimental
1135,Inglés I
1200,Biología de Protistas y Algas
1201,Biología Molecular de la Célula I
1202,Matemáticas II
1203,Química Orgánica
1204,Sistemática I
1208,Contabilidad
1209,Programación I
1210,Ecofisiología
1211,Impacto Ambiental
1212,Matemáticas II
1213,Metodología de la Investigación
1214,Química y Física del Agua
1215,Biodiversidad
1216,Matemáticas para las Ciencias de la Tierra II
1218,Química Orgánica
1219,Sedimentología y Estratigrafía
1222,Estructuras de Datos
1223,Inglés II
1226,Matemáticas para las Ciencias Aplicadas II
1230,Bioquímica
1231,Cálculo Diferencial e Integral II
1232,Geometría Analítica I
1233,Inglés
1234,Medición y Análisis en la Física Experimental
1235,Inglés II
1236,Programación
1237,Inglés I
1300,Bioestadística
1301,Biología de Plantas I
1302,Biología Molecular de la Célula II
1303,Biología Molecular de la Célula III
1304,Ciencias de la Tierra
1308,Teoría del Seguro
1309,Programación II
1310,Ecología de Poblaciones y Comunidades
1311,Métodos de Campo y Laboratorio
1312,Oceanografía y Procesos Costeros
1313,Probabilidad y Estadística
1314,Producción y Aprovechamiento de la Zona Costera I
1315,Ecología
1317,Introducción a la Geodinámica
1318,Matemáticas para las Ciencias de la Tierra III
1319,Técnicas Experimentales
1322,Inglés III
1323,Modelado y Programación
1326,Matemáticas para las Ciencias Aplicadas III
1330,Álgebra Lineal
1331,Cálculo Avanzado
1332,Inglés
1333,Instrumentación y Calibración
1334,Morfofuncional I
1335,Manejo de Datos
1336,Inglés III
1337,Inglés II
1400,Biogeografía I
1401,Biología de Animales I
1402,Biología de Hongos
1403,Biología de Plantas II
1404,Genética I
1405,Paleobiología
1408,Matemáticas Actuariales del Seguro de Personas I
1409,Finanzas I
1410,Ecología Energética
1411,Estancia de Investigación I
1412,Geografía Física y Humana
1413,Producción y Aprovechamiento de la Zona Costera II
1414,Planeación y Análisis de Experimentos
1415,Geoquímica
1416,Interacciones e Historia de los Sistemas Terrestres
1417,Matemáticas para las Ciencias de la Tierra IV
1418,Sistemas Acuáticos
1419,Sistemas Atmosféricos
1425,Autómatas y Lenguajes Formales
1426,Inglés IV
1427,Lógica Computacional
1428,Organización y Arquitectura de Computadoras
1429,Matemáticas para las Ciencias Aplicadas IV
1430,Algoritmos Computacionales
1431,Ecuaciones Diferenciales I
1432,Elaboración y Desarrollo de Proyectos Experimentales
1434,Inglés
1435,Morfofuncional II
1436,Inglés IV
1437,Inglés III
1500,Biología de Animales II
1501,Biotecnología I
1502,Ecología I
1503,Taller Nivel 1
1506,Investigación de Operaciones
1508,Matemáticas Actuariales del Seguro de Personas II
1509,Finanzas II
1510,Alteración de los Sistemas Costeros
1511,Análisis Multivariado
1512,Estancia de Investigación II
1513,Genética y Biodiversidad
1514,Legislación y Administración de la Zona Costera
1515,Estadística Aplicada
1516,Fenómenos Electromagnéticos
1517,Ciencia del Suelo
1519,Ecología Avanzada
